   0.1 [sweep] 902-928 MHz, 200kHz steps, reporting anything > -95 dBm
   0.1 [sweep] station should read around -40 dBm at 30cm
  37.9 [DETECT] 919.201 MHz  rssi=-68.5 dBm
  39.2 [DETECT] 927.802 MHz  rssi=-92.5 dBm
  39.2 [sweep] pass 10 strongest=-68.5dBm @ 919.201MHz  detections=195
  39.2 [DETECT] 902.000 MHz  rssi=-92.5 dBm
  39.2 [DETECT] 902.200 MHz  rssi=-94.5 dBm
  39.2 [DETECT] 902.400 MHz  rssi=-94.0 dBm
  39.2 [DETECT] 902.600 MHz  rssi=-88.5 dBm
  39.3 [DETECT] 902.800 MHz  rssi=-89.0 dBm
  39.3 [DETECT] 903.000 MHz  rssi=-86.5 dBm
  39.3 [DETECT] 903.200 MHz  rssi=-87.5 dBm
  39.3 [DETECT] 903.400 MHz  rssi=-85.0 dBm
  39.3 [DETECT] 903.600 MHz  rssi=-87.0 dBm
  39.3 [DETECT] 903.800 MHz  rssi=-89.5 dBm
  39.8 [DETECT] 904.000 MHz  rssi=-88.5 dBm
  39.8 [DETECT] 904.200 MHz  rssi=-86.5 dBm
  39.8 [DETECT] 904.400 MHz  rssi=-94.5 dBm
  39.8 [DETECT] 904.600 MHz  rssi=-88.0 dBm
  39.8 [DETECT] 904.800 MHz  rssi=-94.0 dBm
  40.9 [DETECT] 911.201 MHz  rssi=-94.5 dBm
  40.9 [DETECT] 911.401 MHz  rssi=-76.5 dBm
  40.9 [DETECT] 911.601 MHz  rssi=-93.5 dBm
  42.9 [DETECT] 926.401 MHz  rssi=-89.0 dBm
  42.9 [DETECT] 926.602 MHz  rssi=-94.0 dBm
  43.1 [DETECT] 927.802 MHz  rssi=-92.5 dBm
  43.1 [sweep] pass 11 strongest=-76.5dBm @ 911.401MHz  detections=216
  43.1 [DETECT] 902.000 MHz  rssi=-91.0 dBm
  43.1 [DETECT] 902.200 MHz  rssi=-94.5 dBm
  43.1 [DETECT] 902.400 MHz  rssi=-93.0 dBm
  43.1 [DETECT] 902.600 MHz  rssi=-94.0 dBm
  43.3 [DETECT] 903.000 MHz  rssi=-92.0 dBm
  43.3 [DETECT] 903.200 MHz  rssi=-90.0 dBm
  43.3 [DETECT] 903.400 MHz  rssi=-87.5 dBm
  43.3 [DETECT] 903.600 MHz  rssi=-87.5 dBm
